id	stream	commit	status	claim	test	effect	gates	note
E24	hypothesis	9ab1cc3	keep-window	Wage digitalization is a third separate rail into the 2021-24 formal-saving surge, not the account-usage face of the digital-payment channel (dev panel)	weighted partial corr d(fin32_acc)~d(fin17a_17a1_d) controlling d(g20_any), pop-weighted LS residualization (E5b/E23 construction); secondary A = two simultaneous controls d(g20_any)+d(mobileaccount_t_d) via multivariate weighted LS; secondary B = symmetric reverse partial	primary partial r=+0.583 (n=71); two-control partial (d_wage | d_g20+d_mm)=+0.433 (n=56); symmetric reverse (d_g20 | d_wage)=+0.431; three-way decomposition on n=56: wage +0.433 > g20 +0.379 > mobile money +0.298; same-sample bivariates 0.791/0.734/0.684 (n=71) and 0.804/0.747/0.713 (n=56)	G3 ok (3 headlines declared; fin32_acc no variant, E10 precedent), G4 ok (71c primary / 56c two-control, both 100% pop share of sample), G5 n/a, G6 ok sign-stable+magnitude-retaining (primary 0.583->0.582 ret 1.00; two-control 0.433->0.562 ret 1.30, jackknife grows)	descriptive; strongest partial in the ledger and the most jackknife-stable (retention 1.00); first TWO-control partial - all three digitalization rails survive mutual conditioning, but mobile money alone drops to +0.298, just under the 0.30 bar, so the rails are separable pairwise (E23) and wage/g20 remain so jointly while mobile money does not; NOTE E12's logged r=+0.370 (n=76) is +0.734 on this n=71 wage-reporting subsample - same sample-composition caveat E23 raised; contemporaneous-delta control decomposes co-movement, identifies nothing
U17	micro	bf538c5	keep	Conditional on holding an account, digital-payment use remains strongly income-graded; income sits on the education side of the access-absorption ruler (2024, pooled)	weighted rate of anydigpayment==1 among account==1, by inc_q (1=poorest..5=richest); statistic q5-q1; secondary same split unconditional and the account rate itself by inc_q	conditional 78.3/82.9/84.8/87.0/89.8pp, q5-q1 = +11.5pp (strictly monotone); unconditional 39.3/47.0/52.8/58.2/66.6 (+27.3pp); ACCESS margin 61.1/67.1/71.6/75.2/80.6 (+19.4pp) -> access absorbs 58%	M2 ok (n=9026-19712 per conditional cell, 17268-25751 unconditional, 23851-35549 access, all >>100); M3 n/a (within-accountholder split, no country-file equivalent)	single 2024 cross-section, descriptive only; completes the five-axis ruler - income (11.5pp residual, 58% absorbed) sits with EDUCATION (U10 16.8pp, 64%) and AGE (U15 10.3pp, 10%) on the persists side, against GENDER (U6 3.4pp) and URBANICITY (U16 3.7pp, 66%) which access equalizes; note absorption share alone does not sort the axes - income and urbanicity absorb nearly the same fraction (58% vs 66%) yet leave 11.5pp vs 3.7pp, because income's unconditional gradient is 2.5x wider; the largest unconditional gradient of any axis on this outcome except education; caveat: inc_q is a WITHIN-ECONOMY RELATIVE quintile so economy-equal pooling mixes economies (caveat #3) - a relative-rank axis, not absolute income; correlates with education/employment/urbanicity, none controlled; conditions on a post-treatment variable
E25	hypothesis	0a36208	keep-window	The digitalization rails are NOT saving-specific: wage digitalization co-moves with the 2021-24 formal-BORROWING deepening too, net of the saving channel (dev panel)	weighted corr d_wage~d_borrow 2021-24 + partial controlling d_saving + all three rails on the common sample	primary r=+0.605 (n=71); partial net of saving r=+0.419 (ret 0.54); common sample n=56: wage +0.649 > mm +0.543 > g20 +0.512 vs E11 benchmark d_sav~d_bor +0.511; same-sample saving links stronger (0.804/0.713/0.747)	G3 ok (4 headlines; fin32_acc no variant, E10 precedent), G4 ok (71c, 100% pop share of sample), G5 n/a, G6 ok sign-stable+magnitude-retaining (0.605->0.501 ret 0.83; partial 0.419->0.225 ret 0.54)	rails reach both deepening margins but the saving link is uniformly stronger; the rails beat SAVING itself as correlates of borrowing on the common sample; contemporaneous delta-on-delta, descriptive only
U18	micro	f2bffc0	keep	Conditional on holding an account, digital-payment use is graded by labour-force status; employment joins the usage-gating side of the access-absorption ruler (2024, pooled)	weighted anydigpayment rate by emp_in among account==1; secondary unconditional split and the access margin	conditional in-workforce 87.9 vs out-of-workforce 78.3pp = +9.6pp; unconditional 60.0 vs 39.2 (+20.8pp); ACCESS margin 76.7 vs 61.7 (+15.0pp, replicates U13 exactly) -> access absorbs 54%; ruler now educ +16.8 > income +11.5 > age +10.3 > employment +9.6 > urban +3.7 > gender +3.4	M2 ok (n=41772/21800 conditional, 58366/40568 unconditional, 83865/56205 access, all >>100); M3 n/a (within-accountholder split, no country-file equivalent)	disclosed: the access margin half was already logged (U13), the conditional residual was the unknown; emp_in is a coarse binary pooling students/pensioners/unemployed; age-educ-income uncontrolled; post-treatment conditioning; single 2024 cross-section
E26	hypothesis	7db6c7d	discard	The digitalization rails do NOT reach the welfare margin at the pre-registered bar: wage digitalization co-moves only weakly with the 2021-24 change in self-reported resilience (dev panel)	weighted corr d_wage~d_resilience 2021-24 (primary); partial controlling d_saving; all three rails on own and common samples; E2 and E15 re-run as declared replications	PRIMARY r=+0.294 (n=71) -- MISSES the 0.30 bar by 0.006; partial net of saving r=+0.319 (ret 0.61); common sample n=56 destination ladder per rail: wage saving +0.804 / borrowing +0.649 / resilience +0.295; g20 +0.747 / +0.512 / +0.000; mm +0.713 / +0.543 / +0.208; E2 replication exact (mm r=+0.189, n=58); E15 replication d_sav~d_res +0.127	G3 ok (5 headlines; fin32_acc no variant, E10 precedent), G4 ok (71c, 100% pop share of sample), G5 n/a, G6 ok and STRENGTHENING (0.294->0.407, ret 1.38 -- the association is not a big-country artifact; if anything the top-5 dilute it)	discarded on the pre-registered threshold alone, NOT on gates -- every gate passed and the jackknife strengthened; the registered alternative outcome is the substantive result: the three-rail story is bounded to BALANCE-SHEET margins (saving ~0.75, borrowing ~0.57) with resilience an order of magnitude weaker and, for digital payments, exactly zero; wage is the only rail with any resilience signal and the partial RISES net of saving (0.294->0.319), so what little there is does not run through the saving channel; consistent with the flat dev-panel aggregate (54.7->54.5pp) which compresses d variance; contemporaneous delta-on-delta, descriptive only; fin24aSD_ND is self-reported hypothetical-shock with the standing 2021-vs-2024 framing caveat
U19	micro	9d75f42	keep	The education axis of the access-absorption ruler is a WITHIN-COUNTRY regularity, not a between-country composition artifact: conditional on holding an account, better-educated adults use digital payments more inside almost every economy (2024)	per-economy weighted anydigpayment rate among account==1, educ>=2 minus educ==1, M2 applied PER ECONOMY (both cells unweighted n>=100); statistic = median within-economy gap; secondary share positive, IQR, pooled-vs-median wedge, and the tertiary-vs-primary like-for-like variant	MEDIAN within-economy gap = +9.4pp across 64 qualifying economies (69.5% of accountholding respondents); positive in 63/64 (98%); IQR +4.2 to +15.6pp, mean +11.2pp; range Comoros -1.5 to Nepal +39.3; pooled over the same 64 economies +12.1pp -> COMPOSITION WEDGE only +2.7pp (~22% of the pooled gap); tertiary-vs-primary variant median +18.0pp, positive 23/23 (100%), pooled all-economies +16.8pp exactly reproducing U10	M2 ok applied per economy (64/140 qualify on the primary split, 23/140 on the tertiary variant); M3 n/a (within-accountholder split, no country-file equivalent)	DISCLOSED registration deviation: the pre-registration stated 31 qualifying economies for the tertiary variant; M2 as actually applied drops respondents missing the outcome or the weight, giving 23 -- the primary's 64 is unaffected (that pre-check did filter on outcome non-missingness). Verdict unchanged either way (23/23 positive). This is the first test in the micro stream to separate within-country gradient from between-country composition, and it VALIDATES the standing caveat's worst case as not binding for education: the pooled ruler survives, with the within-country median running BELOW the pooled figure on the coarse split (+9.4 vs +12.1) and ABOVE it on the like-for-like tertiary split (+18.0 vs +16.8). The qualifying set is SELECTED (economies need sizeable primary-educated AND secondary-plus accountholding populations), so it skews away from both the least- and most-educated economies. educ>=2 merges secondary and tertiary and is a COARSER contrast than U10 by construction, which is why +9.4 < +16.8. Median across economies weights each economy equally, by design a different weighting from the pooled statistic. Post-treatment conditioning on account holding (as in U6/U8/U10/U14-U18); single 2024 cross-section, descriptive only, no trend language. The other five ruler axes remain pooled-only and untested on this dimension
E27	hypothesis	8af0aea	discard	Registered DISPLACEMENT direction rejected: the 2021-24 formal-saving surge did NOT displace informal saving -- formal and other-method saving rose TOGETHER (dev panel)	weighted corr d(fin17c, other-method saving)~d(fin17a_17a1_d) 2021-24; secondary d(fin17b) savings-club margin, dev-panel accounting of all four saving columns, pop-weighted pass-through slope of d(save_any_t_d) on d(formal)	PRIMARY r=+0.696 (n=76) -- OPPOSITE sign from the registered -0.30 bar; semiformal margin r=+0.531 (n=58, G6 ret 1.06); aggregates formal 24.3->38.0 (+13.7pp), any-saving 42.4->53.0 (+10.6pp), other-method 8.7->16.4 (+7.7pp), savings-club 5.3->14.4 (+9.1pp); pass-through slope +0.720 (r=+0.747); d_formal terciles low/mid/high mean d_informal = +0.8/+2.7/+4.6pp (monotonic)	G3 ok (headline saving; fin17b/fin17c/save_any_t_d declared, no variant choice), G4 ok (76c, 100% pop), G6 sign-stable but retention exactly 0.50 (0.696->0.348) on the primary; semiformal secondary G6 ret 1.06	registered direction rejected like E5/E9/E17; the substantive reverse: 77% of the formal gain shows up in TOTAL saving, so the surge is mostly NET NEW saving accompanied by rising informal saving, not a mode switch out of it; ~3.1pp of the 13.7pp formal gain is unmatched in any-saving = the relabelling share; primary co-movement is half big-country amplified (ret 0.50), the semiformal one is not
U20	micro	b94f0ca	keep	The income axis of the access-absorption ruler is a WITHIN-COUNTRY regularity, not a between-country composition artifact: conditional on holding an account, richer adults use digital payments more inside the large majority of economies (2024)	per-economy weighted anydigpayment rate among account==1, inc_q>=4 (richest 40%) minus inc_q<=2 (poorest 40%), M2 applied PER ECONOMY (both cells unweighted n>=100); statistic = MEDIAN within-economy gap; secondary = pooled on the same economies (composition wedge) and the like-for-like q5-vs-q1 variant	MEDIAN within-economy gap = +5.7pp across 83 qualifying economies (92.6% of accountholding respondents), positive in 74/83 (89%); IQR +2.3 to +11.3, mean +7.2, range Kosovo -9.5 to Ecuador +32.5; pooled over the same 83 = +7.9pp -> composition wedge +2.2pp (28% of pooled); like-for-like q5-vs-q1: median +9.7pp, positive 30/33, pooled all-economies +11.5pp reproducing U17 exactly, wedge +1.8pp	M2 ok (applied per economy, both cells n>=100; 83 of 140 economies qualify); M3 n/a (within-accountholder split, no country-file equivalent)	second axis after U19 to separate within-country gradient from between-country composition, and the second to survive; composition wedge 28% of pooled (education 22%); WEAKER than education -- only 54% of economies clear 5pp on the coarse contrast, so the primary sits just above threshold; qualifying set is selected; post-treatment conditioning on account holding; single 2024 cross-section, descriptive, no trend language; registered denominator was '83 of 97' (pre-check base), output prints 83 of 140 total economies -- the qualifying count is exactly as registered
E28	hypothesis	f418739	keep	The three digitalization rails co-move with formal saving in 2017-21 as well as 2021-24; E1/E10/E12 promoted to keep-general (dev panel)	E1/E10/E12 constructions re-run on 2014-17, 2017-21, 2021-24; weighted corr d(rail)~d(fin17a_17a1_d) + terciles; bootstrap 2000 + Kish neff (B6)	2017-21: MM +0.454 (n=57), wage +0.678 (n=77), digital-pay +0.685 (n=77); 2014-17: -0.048/+0.155/-0.248 (window where dev saving FELL 22.2->21.0, delta SD 4.9pp); Kish neff = 6.8-7.5 in EVERY cell	G3 ok, G4 ok (54-77c, pop_share 0.66-1.00), G6 sign-stable + retention 0.89/0.75/0.61 in 2017-21, G5 n/a	B4 promotion test (Program 1.1/1.2). Untouched-cell coverage: 2014-17 (thin) and 2017-21 transitions. B6: 77 pop-weighted countries carry ~7.5 effective obs; E12 2021-24 bootstrap CI [-0.023,+0.824] straddles zero -- promotion stands on the registered r>=0.30 criterion but must be read with that interval. 2014-17 cells are G6-unstable in both directions = no signal, not a contradiction. Descriptive co-movement, never causal.
E29	hypothesis	cc2ad9a	keep-window	Connectivity and digital-payment levels track each other strongly in the 2024 cross-section, but the rails are NOT proxies for connectivity (dev panel)	PRIMARY: weighted corr g20_any~internet 2024 + internet terciles + linear-vs-quadratic weighted R2 + split slopes at the weighted median. SECONDARY: weighted partial corr d(rail)~d(fin17a_17a1_d) 2021-24 | internet 2024 level, three rails. Bootstrap 2000 + Kish neff (B6)	r=+0.707 (n=76, neff=7.2, CI [+0.271,+0.844]); THRESHOLD shape FAILS (quadratic dR2 +0.036 < 0.05 bar) and the split slopes run the OPPOSITE way to the hypothesis (+0.294 below vs +2.668 above the 70.5pp weighted median = takeoff, not prerequisite); partials: MM +0.719->+0.726, wage +0.791->+0.795, digital-pay +0.370->+0.637 (all survive); r(mobileaccount,internet)=+0.097	G3 ok (internet/fin32_acc no variant, declared), G4 ok (77c, pop_share 1.00), G6 sign-stable retention 0.54 (0.707->0.380) -- half big-country amplified, G5 n/a	Program 5.1/5.2, UNTOUCHED `internet` column. Threshold claim discarded on the registered magnitude bar; fallback linear claim kept. internet is SINGLE-WAVE so B4 promotion is impossible by construction -- this can never be keep-general. Secondary strengthens E23/E24: conditioning on connectivity leaves the three rails intact and lifts the digital-payment rail out of the zero-straddling interval E28 found. Cross-sectional level design, descriptive only, no trend language.
E30	hypothesis	7c7f068	keep	The three non-saving-destination co-movements (E11 borrowing~saving, E13 FI~mobile-money, E14 mobile-money~digital payments) replicate on 2017->2021; E14 also on 2014->2017 (dev panel)	E1/E10/E12/E28 construction, pop-weighted corr of the two deltas in 2014->2017 and 2017->2021 with 2021->2024 as reference; delta-terciles, per-window delta SD; G3/G4/G6; B6 bootstrap 2000 draws + Kish neff	2017->2021: E11 +0.616 (n=77), E13 +0.509 (n=57), E14 +0.871 (n=57); 2014->2017: E11 -0.181 G6-unstable, E13 -0.393 G6-unstable, E14 +0.520 (n=54); G6 retention 0.77/0.93/0.99 in the replicating window; Kish neff 6.8-7.6 everywhere; 2021->24 CIs E11 [+0.146,+0.638] E13 [+0.076,+0.686] E14 [+0.187,+0.885]	G3 ok (all five columns registry headlines), G4 ok (76-77 economies, pop_share 0.97-1.00), G6 ok in every replicating cell, G5 n/a	PROMOTES E11, E13, E14 keep-window -> keep-general under the pre-registered rule; ledger now has six general claims. E14 replicates in ALL THREE windows and is the ledger's most robust association (2017->21 +0.871, CI [+0.793,+0.931]). 2014->2017 fails for E11/E13 with G6 SIGN FLIPS and the smallest delta dispersion - no stable signal either way, the second independent observation of that property after E28. E13/E14 share the same x variable so their cells are not independent.
E31	hypothesis	70e5bfd	discard	Registered joint claim REJECTED: within-country ACCESS gaps did not demonstrably close while usage gaps stayed open -- the access-closure half is a big-country artifact (dev panel, 2011-2024)	pan_grp, five demographic slices (gender/income/education/age_cat/laborforce, the last three UNTOUCHED frames); pop-weighted mean within-country gap (advantaged-disadvantaged) in account_t_d 2011->2024 and g20_any 2014->2024; log-odds gap as scale-free guard; G3/G4/G6; B6 bootstrap 2000 draws + Kish neff	raw count met the bar (A 3/5, B 5/5, joint 3/5) but gender access Dgap -5.8pp FLIPS to +0.7pp under G6 drop-top-5, leaving A at 2/5; E4 retention of survivors 0.37 (income) and 0.09 (education); only 38%/42% of economies narrowed on gender/education vs 69% on income; usage margin: NO dimension closed 5pp, age_cat +1.3pp and laborforce +1.4pp WIDENED, log-odds usage gap widened for income (+0.100) and education (+0.056) while every access log-odds gap narrowed; Kish neff 6.8-7.0 access / 5.7-5.8 usage; urbanicity 2024 descriptive +4.8pp account, +6.4pp digital pay	G3 ok (both headlines), G4 ok (76-77 economies, pop_share 0.97-1.00), G6 FAIL on gender access and on 4 of 5 usage cells, G5 n/a	B2 breadth experiment: first ledger use of the education, age_cat and laborforce frames. The discard is informative -- on two of three carrying dimensions a MINORITY of developing economies narrowed their access gap while the pop-weighted mean fell sharply, i.e. the working paper's own aggregation pitfall reproduced inside the ledger. Income is the only dimension with a majority narrowing AND a bootstrap CI clear of zero. Directional contrast on record (not a claim): access log-odds gaps narrowed in all five dimensions, usage log-odds gaps widened for income and education.
E32	hypothesis	e2384be	discard	Registered ROBUSTNESS claim REJECTED: the ledger delta->delta family survives BH but NOT the removal of population weighting; and at Kish neff~7 NOT ONE of the 16 associations is significant	BH (q=0.10) over the declared 16-test 2021->2024 delta~delta family on p_boot (2000-draw country bootstrap), p_nominal (t, n-2 df) and p_neff (t, neff-2 df); unweighted replication of every test; reproduction check vs findings.tsv	(a) BH/p_boot 7/8 kept rows survive (only E7 fails, p=0.068 vs thr 0.0625) PASS >=80%; (b) |r_unweighted|>=0.30 only 6/8 = 75% FAIL -- E7 +0.541->+0.283, E13 +0.435->+0.188; p_neff BH survivors 0/16 (best E10 p=0.030); p_nominal 11/16; Kish neff 7.1-7.6 on nominal n 58-76; sign flips unweighted only in E18/E19 (both already discards); E16 discard r_w +0.198 -> r_u +0.555	reproduction OK (max |r_recomputed-r_ledger|=0.0005 over 16), G4 ok (62-76c, pop share 0.71-0.97), G6 14/16 sign-stable, E4 magnitude rule fails for E7 and E27	AUDIT, no new association; not subject to B4. Actionable: E7 fails ALL THREE lenses (BH, unweighted, E4 magnitude) and is the one keep this recommends demoting; E13 fails the unweighted lens. The weighting is NOT uniformly inflationary (median |r| change +0.011, 8/16 weaker unweighted) -- it relocates rather than inflates. The neff result is the headline: a 16-test family at ~7 effective observations supports no significance claim at all, so the ledger must stop implying nominal-n degrees of freedom.
E33	hypothesis	a4a5936	keep-window	The digitalization rails DO co-move with a second welfare margin (fh financial-health family), and E26 resilience null is MEASURE-SPECIFIC: the two welfare families barely agree with each other	E26 construction with the destination swapped: weighted corr d(fh1/fh2/fh1_fh2)~d(rail) 2021-24, pan_dev, three rails (fin32_acc, g20_any, mobileaccount_t_d) + terciles; secondary A d(fh)~d(fin17a_17a1_d), secondary B d(fh)~d(fin24aSD_ND); B6 bootstrap 2000 + Kish neff	ALL 9 primary cells clear 0.30 with one sign: digital-pay g20 +0.699/+0.684/+0.705, wage +0.524/+0.434/+0.447, mobile money +0.465/+0.364/+0.354 (fh1/fh2/fh1_fh2) vs E26 benchmark +0.294 wage on fin24aSD_ND; terciles monotone-ish low negative mid/high positive (fh1_fh2~g20 -5.0/+3.4/+5.1); SECONDARY A saving surge +0.534/+0.470/+0.465; SECONDARY B resilience only +0.146/+0.032/+0.104 -- the two welfare measures are nearly ORTHOGONAL; levels fh1 21.2->19.8, fh2 25.0->24.3, fh1_fh2 32.9->32.0, fh2a 2024=9.5	G3 DISCLOSED UNREGISTERED (harness INDICATORS lacks fh; fh1/fh2 declared primary, fh1_fh2 composite, fh2a excluded single-wave), G4 ok (71c 2024, pop share 0.69), G6 ok 9/9 sign-stable, E4 retention 0.83-1.76 all >=0.5; B6 Kish neff 6.5-6.9 on nominal n 54-69	B4: STRUCTURALLY UNPROMOTABLE -- fh has no pre-2021 wave, so this can never leave keep-window (same status as E29). PRECISION CAVEAT (post-E32): only the digital-payment cells have bootstrap CIs clear of zero on all three items (lower bounds +0.447/+0.460/+0.496); ALL THREE mobile-money cells include zero, as does fh2~wage -- the rail ORDER here is not resolvable at neff~7. POLARITY UNRESOLVED: the disclosed post-hoc anchor is inconclusive (fh1 level r=+0.211 vs resilience but -0.075 vs account), so the pre-registered quantity (magnitude + sign-consistency) stands while the WELFARE DIRECTION of the co-movement is undetermined and must not be worded as improvement or deterioration. B2 breadth cell: first ledger use of the fh module.
E34	hypothesis	6224bf7	keep	The within-country AGE gap in account ownership narrowed in a majority of developing panel economies over 2011-2024, and unlike the income/education axes of E31 the USAGE gap narrowed in the same majority direction (dev panel, age_cat frame)	pan_grp group=='age_cat', non-high-income; per-country log-odds gap logit(p_25+)-logit(p_15-24) on account_t_d; PRIMARY = unweighted share of economies with a smaller gap in 2024 than 2011 (bar 60%); plus weighted/unweighted mean d(log-odds) sign agreement; per-transition decomposition; g20_any usage margin 2014->2024	PRIMARY share narrowing = 63.6% (n=66, neff=6.8) vs 60% bar -> PASS, boot 95% CI [51.5%,75.8%]; SIGN AGREEMENT weighted -0.074 [-0.465,+0.097] vs unweighted -0.171, both negative -> PASS; G6 wmean_droptop5 = -0.266 (sign stable and magnitude GROWS 3.6x -> the opposite of E31's big-country artifact); pp gap levels 2011-2024 = +7.9/+10.2/+6.4/+6.4/+5.2pp (log-odds +0.408/+0.491/+0.288/+0.333/+0.340); per-transition shares 2011-14 48.5% / 2014-17 59.5% / 2017-21 57.1% / 2021-24 44.2% -- narrowing is a MIDDLE-DECADE phenomenon, absent in the first and last windows; USAGE g20_any 2014->2024 share 64.5% (n=62, neff=5.7), wmean -0.025 [-0.400,+0.174], unwtd -0.159, droptop5 -0.319, level log-odds +0.117/+0.124/+0.127/+0.092	G3 ok (account_t_d, g20_any headline), G4 ok (77c pop 1.000 / 76c pop 0.974), G6 ok (sign stable, retention >1 on both margins), G5 n/a; B6 2,000-draw country bootstrap + Kish neff 5.7-7.5 reported per cell	B2 breadth cell: age_cat frame (previously 1 ledger mention) and the 2011->2014 transition (thinnest, 4 mentions). Parent E31 (first descendant, B3 not engaged). Multi-wave span so B4 does not bind. WEAK KEEP, three caveats recorded at registration-honest strength: (i) the weighted-mean CI straddles zero, so only the share statistic is separated from its null; (ii) the share CI's lower bound is 51.5%, barely clear of the 50% coin flip; (iii) no single transition clears the 60% bar -- the decade result is an accumulation of two mildly narrowing middle windows against a widening 2021-24. CONTRAST with E31: on income/education the weighted mean moved far while a minority of economies moved with it (big-country artifact); on age the weighted mean is small while a majority of economies move -- the reverse pattern, and the usage log-odds gap narrows here where it WIDENED on income/education.
E35	hypothesis	ce8db7f	discard	Registered GENERALITY claim REJECTED: the three-separate-rails structure does NOT replicate on 2017->2021 -- none of E23/E24/E25 promotes, and the rails were not separable in the earlier window because mobile money and digital payments were nearly collinear there (dev panel)	Exact E23/E24/E25 partial constructions (pop-weighted LS residualization then weighted_corr, gate_jackknife on the residual pair) re-run on 2017->2021 with 2021->2024 recomputed in the same file; promotion requires same sign AND |r|>=0.30 AND G6 sign-stable with retention>=0.5; inference layer = 2,000-draw country bootstrap (residualization redone inside each draw), Kish neff, unweighted twin, BH q=0.10 over the declared six-cell family	PROMOTIONS 0/3. E23 (mm~sav|g20): 2021-24 +0.509 -> 2017-21 -0.042 SIGN FLIP (CI [-0.295,+0.231], p_boot 0.835, G6 sign_ok FALSE). E24 (wage~sav|g20): +0.583 -> +0.291, same sign but MISSES 0.30 by 0.009 (CI [-0.012,+0.516], p_boot 0.058, G6 ok ret 1.45). E25 (wage~bor|sav): +0.419 -> +0.459, clears sign and magnitude but G6 COLLAPSES to -0.028, retention 0.06 -- a pure big-country artifact in the earlier window. MECHANISM: r(d_mm,d_g20) = +0.871 in 2017-21 vs +0.600 in 2021-24, so in the earlier window the two rails are nearly collinear and there is nothing left to separate. Fidelity check: all three 2021-24 cells reproduce the logged originals exactly (+0.509/+0.583/+0.419, n=58/71/71). INFERENCE: BH q=0.10 rejects 4/6 on p_boot, 5/6 uncorrected nominal, and 0/6 on p_neff (neff 7.0-7.5) -- the E32 result reproduces on the partial family. UNWEIGHTED lens only 2/6 cells clear 0.30; E24 +0.583->+0.416, E25 +0.419->+0.138, E25-R 2017-21 +0.459->-0.055 (sign flip).	G3 ok (fin17a_17a1_d / g20_any / mobileaccount_t_d headline; fin32_acc and fin22a_22a1_22g_d have no variant, E10/E11 precedent), G4 ok (77c pop 1.000 in 2021; 76c pop 0.974 in 2024), G6 applied to every primary residual pair with the E4 magnitude rule (first application to E23/E24/E25), G5 n/a; B6 2,000-draw bootstrap + Kish neff on all six primary cells	Program 1 (replication debt) + Program 2 items 2.2/2.3 for the non-delta->delta partial family. Parents E23/E24/E25, first replication attempt (B3 not engaged). CONSEQUENCE: E23, E24 and E25 REMAIN keep-window and are now on record as failing their promotion test -- the rail SEPARATION is a 2021-24 window property even though the six BIVARIATE co-movements underneath it are keep-general (E28/E30). This is the sharpest limit yet on the paper's rail decomposition and must be stated in Section 4. IMPLEMENTATION NOTE, disclosed: the first run of this file joined the population weight with fillna, which inherited only the mobile-money panel's index and silently narrowed every cell (E24-R n=61 instead of 71); fixed to combine_first and re-run before any verdict was read -- the fix was identified by the 2021-24 cells failing to reproduce their logged originals, which is exactly what recomputing the original window in the same file is for.
E36	hypothesis	ff82e30	discard	Registered RESOURCE/ASCRIPTION dividing line REJECTED: the access-converges/use-diverges split does not generalize as a two-class rule -- employment narrows on BOTH margins and the gender frame is a coin flip on both	log-odds gap trajectories, 5 axes x 2 margins, dev panel (access 2011-2024, usage 2014-2024); primary = unweighted share of economies narrowing	P1 laborforce access 64.5% / usage 57.4% (bar: access>=60%, usage<50%) FAIL; P2 gender access 54.5% / usage 53.2% (bar 60% both) FAIL; asymmetry gradient income +23.3pp > educ +18.0 > labor +7.1 > gender +1.3 > age -0.9	G3 ok, G4 ok (77c/76c), G6 flips gender wmean (-0.266 -> +0.057), BH 4/10 at q=0.10, neff 5.7-7.0 vs n 60-66	originals reproduce inside the file (E31 income/education, E34 age); gender is a pure big-country artifact (wmean -0.266 vs unwtd -0.002); asymmetry ordering matches the hypothesis but is logged as observation, not keep (not the pre-registered statistic); B3 lineage cap E31->E34->E36 now reached
U21	micro	edeec8a	discard	Registered CONNECTIVITY-GATE claims REJECTED: among accountholders the offline gap in digital-payment use (+13.6pp) is SMALLER than the education gap (+16.8pp), and connectivity absorbs only 22.8% of the education gradient (bar 30%)	weighted anydigpayment rates by internet_use / educ / inc_q, unconditional vs account-conditional vs account-and-connectivity-conditional (2024 micro, pooled)	C1 13.6pp >= 5pp but < educ 16.8pp FAIL; C2 absorption 22.8% < 30% FAIL; account holding absorbs 55.5% of the unconditional +30.5pp connectivity gap	M1 ok, M2 ok (min cell 565), M3 ok (0.0pp dev, 10/9 economies)	first use of internet_use (untouched column, Program 5.3/5.4); meaningful negative -- unlike every other ruler axis, the connectivity gradient is MOSTLY an access story; item 5.4 profile: offline share among accountholders 43.6% primary-or-less vs 2.3% tertiary, 34.6% at 65+, 22.7% rural vs 11.8% urban, sex nearly flat
E37	hypothesis	82cc2d1	discard	Registered SEQUENCING-LADDER claim REJECTED: the level of a rung at t does NOT predict subsequent growth of the rung above it -- only 1 of 3 rungs clears the bar and that one is a big-country artifact (dev panel, three transitions pooled)	Program 6 items 6.1-6.3, FIRST lagged design (rule B5): level(up) at t vs delta(down) over t->t+1, stacked over 2014->17/2017->21/2021->24, pop-weighted corr; own-level partial (E5b residualization) and the convergence benchmark r(L_down,d_down) reported per rung; B6 bootstrap resamples COUNTRIES carrying all their transitions	R1 account->d(digital pay) r=+0.066 CI[-0.232,+0.169] p_boot=0.669; R2 digital pay->d(formal saving) r=+0.447 CI[+0.113,+0.633] p_boot=0.000 BUT G6 drop-top-5 +0.126 (retention 0.28) and 2014->17 flips to -0.434; R3 formal saving->d(borrow_any_t_d) r=-0.126 CI[-0.217,-0.031], per-window +0.295/+0.280/-0.742	G3 ok (4 headline cols), G4 ok (77c, pop 1.0 all margins), G6 R1 FLIPS (+0.066->-0.177) R2 retention 0.28 R3 n/a at magnitude, B6 2000-draw country bootstrap + Kish neff	neff 7.5 COUNTRY-level (row-level 22.2 is a stacking artifact -- three rows per economy triple the weight sum without adding an economy); pooled R3 hides a sign flip across windows; opens and effectively closes Program 6 items 6.1-6.4; untouched module borrow_any_t_d now used
